dataset,seed,ARI,NMI,AMI,Silhouette,CHI,DBI
10x_human_lymph_node_A1,42,0.25486877597003965,0.34097537634783665,0.3364773670978002,0.15233535,694.8293,2.2734039448580012
10x_human_lymph_node_A1,0,0.25404373245258205,0.3318385012977325,0.32726979178501675,0.13652362,853.6376,2.334698966228607
10x_human_lymph_node_A1,1,0.26535857409349056,0.3671967824809011,0.36310513263897853,0.092280686,739.548,2.5579972259292725
10x_human_lymph_node_A1,7,0.24707608542997053,0.340069139844289,0.33567110532788347,0.13535397,1079.4589,2.3150422430485587
10x_human_lymph_node_A1,123,0.25101372967711794,0.3497536489779142,0.3453420106927495,0.09996807,835.30206,2.0836809155004823
10x_human_lymph_node_A1,1234,0.24771558190832704,0.3431688879977199,0.33882468375532077,0.1048347,764.72943,2.625478973053883
10x_human_lymph_node_A1,2022,0.2504846942950365,0.3417273318311782,0.3373044693530794,0.13378508,880.1029,2.2876148219894463
10x_human_lymph_node_A1,2023,0.24175050605323417,0.34541976666775054,0.34115571138968176,0.079008155,610.77686,2.656248299063492
10x_human_lymph_node_A1,2024,0.27116674528271656,0.34085275762336503,0.33626141740891474,0.14472902,809.9518,2.075970056214317
10x_human_lymph_node_A1,1337,0.24999183431302507,0.3367375892811419,0.3322991008545089,0.13757788,978.3114,2.17239570769784
10x_human_lymph_node_D1,42,0.13054339578899235,0.3013150589132487,0.2956305516185007,0.13470216,467.8772,2.300699932563388
10x_human_lymph_node_D1,0,0.15585219286015167,0.2918388276782301,0.2860766471047161,0.09312484,451.901,2.380357573045663
10x_human_lymph_node_D1,1,0.1740796425319989,0.31022623457681614,0.3046378599481047,0.086145855,453.65042,2.4248314117079883
10x_human_lymph_node_D1,7,0.15448877380148568,0.30529125529513873,0.29930381250805255,0.12576641,549.6376,2.138678343741805
10x_human_lymph_node_D1,123,0.17973523917339332,0.3252982708449866,0.31983859844185636,0.0997516,480.34595,2.4462510024222044
10x_human_lymph_node_D1,1234,0.1569759445390618,0.3008011032149629,0.2949006786379935,0.15200762,461.03464,2.4943762419171507
10x_human_lymph_node_D1,2022,0.1490312077925669,0.309379586988067,0.3035587975759961,0.12153537,468.60583,2.5713844045595002
10x_human_lymph_node_D1,2023,0.16459924023168465,0.32487756125345785,0.3193343084858191,0.07483915,360.50143,2.641675408562645
10x_human_lymph_node_D1,2024,0.13556318084026245,0.2944606495441279,0.28867665893828526,0.09338711,494.46628,2.2681764545742826
